Session Title,Massachusetts only ICD10s for Diabetes and % w/HA1C 6.5+ by Age Sex Race and Year,,,,,,
Session ID,2793324,,,,,,
Data Model,Patients,,,,,,
Population Base,All Patients,,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence: Massachusetts,Base Patient,,,,,
Session Date Range,1/1/2018 - 12/17/2025,,,,,,
Export User,Stephanie Perniciaro,,,,,,
Date of Export,1/26/2026,,,,,,
,,,,,,,
,,,,,,,
,,,,Measures,Percentage with Diagnosis (All): diabetes ICD10 E08-E13 (%),Percentage with Hemoglobin A1C 6.5% or more (%),Number of Patients
Year,Age at Encounter in Years,Patient Legal Sex,Patient Ethnic Group,Patient Race,,,
Jan 1 – Dec 31 2018,Less than 18 Years,Male,Not Hispanic or Latino,Black or African American,1.13%,0.90%,19784
,,,,Native Hawaiian or Other Pacific Islander,-,-,228
,,,,Asian,0.69%,0.48%,6841
,,,,Other Race,1.96%,1.77%,7294
,,,,White,1.01%,0.86%,62433
,,,,American Indian or Alaska Native,-,-,434
,,,,None of the above,0.42%,-,2648
,,,,"Total: Total includes all data under the Not Hispanic or Latino bucket, including data from rows not currently displayed.",0.98%,0.82%,91215
,,,Hispanic or Latino,Black or African American,0.88%,0.63%,4303
,,,,Native Hawaiian or Other Pacific Islander,-,-,384
,,,,Asian,-,-,149
,,,,Other Race,1.11%,0.85%,13813
,,,,White,0.89%,0.67%,14044
,,,,American Indian or Alaska Native,-,-,1062
,,,,None of the above,0.35%,-,3148
,,,,"Total: Total includes all data under the Hispanic or Latino bucket, including data from rows not currently displayed.",0.88%,0.66%,28857
,,,None of the above,Black or African American,0.76%,0.59%,2891
,,,,Native Hawaiian or Other Pacific Islander,-,-,99
,,,,Asian,-,-,616
,,,,Other Race,0.99%,0.79%,4454
,,,,White,0.91%,0.73%,6956
,,,,American Indian or Alaska Native,-,-,211
,,,,None of the above,0.44%,0.36%,21826
,,,,"Total: Total includes all data under the None of the above bucket, including data from rows not currently displayed.",0.56%,0.45%,33349
,,,Total,Black or African American,1.05%,0.83%,26978
,,,,Native Hawaiian or Other Pacific Islander,-,-,711
,,,,Asian,0.64%,0.46%,7606
,,,,Other Race,1.33%,1.10%,25561
,,,,White,0.98%,0.82%,83433
,,,,American Indian or Alaska Native,0.94%,0.94%,1707
,,,,None of the above,0.43%,0.35%,27622
,,,,"Total: Total includes all data under the Total bucket, including data from rows not currently displayed.",0.87%,0.71%,153421
,,Female,Not Hispanic or Latino,Black or African American,1.45%,1.19%,19284
,,,,Native Hawaiian or Other Pacific Islander,-,-,221
,,,,Asian,0.90%,0.70%,6533
,,,,Other Race,2.13%,1.79%,7002
,,,,White,1.15%,0.90%,60416
,,,,American Indian or Alaska Native,-,-,465
,,,,None of the above,-,-,2209
,,,,"Total: Total includes all data under the Not Hispanic or Latino bucket, including data from rows not currently displayed.",1.13%,0.91%,87259
,,,Hispanic or Latino,Black or African American,1.42%,1.05%,4372
,,,,Native Hawaiian or Other Pacific Islander,-,-,417
,,,,Asian,-,-,168
