Session Title,Percentage with Has Any Encounters? preceded by Immunizations: MMR receipt within 10 years and Number of Patients by Age at Encounter in Years Range and State of Residence (U.S.),,,
Session ID,2773920,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"(Billed Procedures: INITIAL PREVENTIVE MEDICINE NEW PT AGE 5-11 YRS 99383, INITIAL PREVENTIVE MEDICINE NEW PT AGE 1-4 YRS 99382, INITIAL PREVENTIVE MEDICINE NEW PATIENT <1YEAR 99381, PERIODIC PREVENTIVE MED EST PATIENT 5-11YRS 99393, PERIODIC PREVENTIVE MED EST PATIENT 1-4YRS 99392, PERIODIC PREVENTIVE MED ESTABLISHED PATIENT <1Y 99391 OR Encounter Type: Well Child OR Diagnosis (All): Encounter for newborn, infant and child health examinations( ICD-10-CM: Z00.1 )) AND Has Any Encounters?",,,
Session Date Range,1/1/2018 - 12/31/2024,,,
Export User,Daniel Weinberger,,,
Date of Export,11/6/2025,,,
,,,,
,,,,
,,Measures,Percentage with Has Any Encounters? preceded by Immunizations: MMR receipt within 10 years (%),Number of Patients
Age at Encounter in Years,State of Residence (U.S.),Year,,
Less than 1 Years,Connecticut,Jan 1 – Dec 31 2018,33.31%,5569
,,Jan 1 – Dec 31 2019,31.31%,6072
,,Jan 1 – Dec 31 2020,31.31%,6374
,,Jan 1 – Dec 31 2021,32.97%,5099
,,Jan 1 – Dec 31 2022,32.79%,6306
,,Jan 1 – Dec 31 2023,34.56%,6589
,,Jan 1 – Dec 31 2024,36.43%,13050
,Maine,Jan 1 – Dec 31 2018,33.17%,4631
,,Jan 1 – Dec 31 2019,36.56%,5974
,,Jan 1 – Dec 31 2020,34.35%,5799
,,Jan 1 – Dec 31 2021,33.74%,6064
,,Jan 1 – Dec 31 2022,34.20%,6853
,,Jan 1 – Dec 31 2023,34.40%,6921
,,Jan 1 – Dec 31 2024,34.39%,6857
,Delaware,Jan 1 – Dec 31 2018,33.69%,6159
,,Jan 1 – Dec 31 2019,34.68%,6744
,,Jan 1 – Dec 31 2020,33.88%,7061
,,Jan 1 – Dec 31 2021,34.23%,7497
,,Jan 1 – Dec 31 2022,35.27%,7607
,,Jan 1 – Dec 31 2023,35.24%,7621
,,Jan 1 – Dec 31 2024,32.49%,8110
,New Hampshire,Jan 1 – Dec 31 2018,35.76%,4966
,,Jan 1 – Dec 31 2019,36.80%,5313
,,Jan 1 – Dec 31 2020,33.94%,5540
,,Jan 1 – Dec 31 2021,34.38%,5963
,,Jan 1 – Dec 31 2022,35.50%,6157
,,Jan 1 – Dec 31 2023,34.86%,5966
,,Jan 1 – Dec 31 2024,34.88%,6095
,Massachusetts,Jan 1 – Dec 31 2018,33.83%,18133
,,Jan 1 – Dec 31 2019,34.32%,19028
,,Jan 1 – Dec 31 2020,34.20%,18582
,,Jan 1 – Dec 31 2021,33.29%,19034
,,Jan 1 – Dec 31 2022,33.15%,22172
,,Jan 1 – Dec 31 2023,33.34%,25132
,,Jan 1 – Dec 31 2024,31.78%,29405
,Iowa,Jan 1 – Dec 31 2018,29.06%,20144
,,Jan 1 – Dec 31 2019,29.07%,20818
,,Jan 1 – Dec 31 2020,28.21%,20899
,,Jan 1 – Dec 31 2021,27.85%,21121
,,Jan 1 – Dec 31 2022,29.04%,22531
,,Jan 1 – Dec 31 2023,28.54%,25130
,,Jan 1 – Dec 31 2024,28.84%,27160
,Wisconsin,Jan 1 – Dec 31 2018,32.39%,45515
,,Jan 1 – Dec 31 2019,35.67%,47280
,,Jan 1 – Dec 31 2020,34.37%,46518
,,Jan 1 – Dec 31 2021,33.13%,47056
,,Jan 1 – Dec 31 2022,34.87%,48734
,,Jan 1 – Dec 31 2023,33.74%,48069
,,Jan 1 – Dec 31 2024,33.02%,49306
,Pennsylvania,Jan 1 – Dec 31 2018,31.09%,43374
,,Jan 1 – Dec 31 2019,32.65%,45753
