Session Title,Percentage with Has Any Encounters? preceded by Immunizations: MMR receipt within 10 years and Number of Patients by Age at Encounter in Years Range and State of Residence,,,,
Session ID,2776947,,,,
Data Model,Patients,,,,
Population Base,All Patients,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence: Texas AND (Billed Procedures: INITIAL PREVENTIVE MEDICINE NEW PT AGE 5-11 YRS 99383, INITIAL PREVENTIVE MEDICINE NEW PT AGE 1-4 YRS 99382, INITIAL PREVENTIVE MEDICINE NEW PATIENT <1YEAR 99381, PERIODIC PREVENTIVE MED EST PATIENT 5-11YRS 99393, PERIODIC PREVENTIVE MED EST PATIENT 1-4YRS 99392, PERIODIC PREVENTIVE MED ESTABLISHED PATIENT <1Y 99391 OR Encounter Type: Well Child OR Diagnosis (All): Encounter for newborn, infant and child health examinations( ICD-10-CM: Z00.1 )) AND Has Any Encounters?",,,,
Session Date Range,1/1/2018 - 10/30/2025,,,,
Export User,Daniel Weinberger,,,,
Date of Export,1/6/2026,,,,
,,,,,
,,,,,
,,,Measures,Percentage with Has Any Encounters? preceded by Immunizations: MMR receipt within 10 years (%),Number of Patients
Age at Encounter in Years,State of Residence,Year,Month,,
Less than 1 Years,Texas,2018,Jan,0.63%,27522
,,,Feb,0.61%,24285
,,,Mar,0.70%,32625
,,,Apr,0.66%,30686
,,,May,0.74%,31407
,,,Jun,0.62%,28957
,,,Jul,0.60%,29501
,,,Aug,0.70%,32173
,,,Sep,0.73%,28217
,,,Oct,0.84%,33616
,,,Nov,0.81%,30578
,,,Dec,0.64%,28559
,,2019,Jan,0.78%,34325
,,,Feb,0.82%,29524
,,,Mar,0.86%,31918
,,,Apr,0.83%,32060
,,,May,0.98%,32503
,,,Jun,0.85%,30490
,,,Jul,0.91%,32982
,,,Aug,1.03%,33021
,,,Sep,0.95%,31778
,,,Oct,1.00%,34993
,,,Nov,0.97%,29894
,,,Dec,0.90%,33055
,,2020,Jan,1.00%,35801
,,,Feb,0.79%,31122
,,,Mar,0.77%,30722
,,,Apr,0.60%,27612
,,,May,0.55%,30472
,,,Jun,0.49%,32507
,,,Jul,0.60%,32630
,,,Aug,0.51%,32097
,,,Sep,0.55%,33516
,,,Oct,0.58%,33995
,,,Nov,0.59%,31176
,,,Dec,0.66%,33731
,,2021,Jan,0.65%,33280
,,,Feb,0.44%,27975
,,,Mar,0.63%,38435
,,,Apr,0.73%,34111
,,,May,0.71%,33928
,,,Jun,0.82%,37166
,,,Jul,0.73%,34941
,,,Aug,0.87%,36867
,,,Sep,0.76%,36638
,,,Oct,0.75%,37372
,,,Nov,0.68%,37360
,,,Dec,0.70%,37005
,,2022,Jan,0.64%,39157
,,,Feb,0.62%,36462
,,,Mar,0.76%,42019
,,,Apr,0.67%,38018
,,,May,0.76%,38215
,,,Jun,0.74%,38976
,,,Jul,0.83%,36147
,,,Aug,0.77%,41903
,,,Sep,0.78%,39650
,,,Oct,0.73%,39570
,,,Nov,0.80%,38509
,,,Dec,0.74%,38163
,,2023,Jan,0.63%,42316
,,,Feb,0.61%,38410
,,,Mar,0.84%,43330
,,,Apr,0.71%,37105
,,,May,0.66%,41491
,,,Jun,0.75%,40283
,,,Jul,0.53%,38421
,,,Aug,0.73%,42537
,,,Sep,0.70%,39062
,,,Oct,0.74%,44606
,,,Nov,0.70%,42382
,,,Dec,0.74%,40224
,,2024,Jan,0.67%,47203
,,,Feb,0.65%,43978
,,,Mar,0.64%,44091
,,,Apr,0.76%,46179
,,,May,0.75%,44660
,,,Jun,0.67%,42990
,,,Jul,0.70%,45992
,,,Aug,0.77%,47834
,,,Sep,0.70%,45580
,,,Oct,0.80%,49334
,,,Nov,0.72%,42667
,,,Dec,0.65%,46764
