geography,time,age,wisqars_rate_firearm_accident,wisqars_rate_firearm_intentional,wisqars_deaths_firearm_accident,wisqars_deaths_firearm_intentional,state_name,year
00,2001-01-01,0-14 Years,0.12,0.56,72,336,National,2001
00,2002-01-01,0-14 Years,0.1,0.58,60,352,National,2002
00,2003-01-01,0-14 Years,0.09,0.51,56,311,National,2003
00,2004-01-01,0-14 Years,0.1,0.47,63,285,National,2004
00,2005-01-01,0-14 Years,0.12,0.52,75,314,National,2005
00,2006-01-01,0-14 Years,0.09,0.58,54,348,National,2006
00,2007-01-01,0-14 Years,0.11,0.52,65,318,National,2007
00,2008-01-01,0-14 Years,0.1,0.5,62,302,National,2008
00,2009-01-01,0-14 Years,0.08,0.49,48,299,National,2009
00,2010-01-01,0-14 Years,0.1,0.49,62,301,National,2010
00,2011-01-01,0-14 Years,0.12,0.51,74,310,National,2011
00,2012-01-01,0-14 Years,0.1,0.57,58,347,National,2012
00,2013-01-01,0-14 Years,0.11,0.54,69,332,National,2013
00,2014-01-01,0-14 Years,0.08,0.66,49,400,National,2014
00,2015-01-01,0-14 Years,0.08,0.64,48,388,National,2015
00,2016-01-01,0-14 Years,0.12,0.66,74,400,National,2016
00,2017-01-01,0-14 Years,0.1,0.73,62,447,National,2017
00,2018-01-01,0-14 Years,0.09,0.75,54,454,National,2018
00,2019-01-01,0-14 Years,0.08,0.73,51,441,National,2019
00,2020-01-01,0-14 Years,0.15,1.01,93,618,National,2020
00,2021-01-01,0-14 Years,0.18,1.13,107,684,National,2021
00,2022-01-01,0-14 Years,0.14,1.11,84,668,National,2022
00,2023-01-01,0-14 Years,0.16,1.09,92,648,National,2023
00,2001-01-01,15-24 Years,0.51,15.96,206,6417,National,2001
00,2002-01-01,15-24 Years,0.51,15.89,210,6491,National,2002
00,2003-01-01,15-24 Years,0.48,15.89,200,6577,National,2003
00,2004-01-01,15-24 Years,0.41,15.04,172,6310,National,2004
00,2005-01-01,15-24 Years,0.48,15.41,203,6541,National,2005
00,2006-01-01,15-24 Years,0.45,16.07,193,6886,National,2006
00,2007-01-01,15-24 Years,0.36,15.45,155,6665,National,2007
00,2008-01-01,15-24 Years,0.3,14.94,132,6483,National,2008
00,2009-01-01,15-24 Years,0.3,14.05,132,6122,National,2009
00,2010-01-01,15-24 Years,0.33,13.76,145,6003,National,2010
00,2011-01-01,15-24 Years,0.3,13.9,130,6093,National,2011
00,2012-01-01,15-24 Years,0.27,14.25,119,6265,National,2012
00,2013-01-01,15-24 Years,0.24,13.66,107,6010,National,2013
00,2014-01-01,15-24 Years,0.25,13.59,109,5973,National,2014
00,2015-01-01,15-24 Years,0.28,15.27,121,6685,National,2015
00,2016-01-01,15-24 Years,0.28,16.81,121,7312,National,2016
00,2017-01-01,15-24 Years,0.27,17.24,117,7441,National,2017
00,2018-01-01,15-24 Years,0.3,16.76,129,7189,National,2018
00,2019-01-01,15-24 Years,0.3,16.88,128,7209,National,2019
00,2020-01-01,15-24 Years,0.3,21.42,129,9214,National,2020
00,2021-01-01,15-24 Years,0.29,22.88,125,9867,National,2021
00,2022-01-01,15-24 Years,0.28,21.02,120,9140,National,2022
00,2023-01-01,15-24 Years,0.26,19.77,113,8674,National,2023
00,2001-01-01,25-44 Years,0.32,13.08,268,11059,National,2001
00,2002-01-01,25-44 Years,0.32,13.36,266,11224,National,2002
00,2003-01-01,25-44 Years,0.29,13.17,238,10987,National,2003
00,2004-01-01,25-44 Years,0.24,12.91,197,10721,National,2004
00,2005-01-01,25-44 Years,0.3,13.41,244,11096,National,2005
00,2006-01-01,25-44 Years,0.23,13.23,187,10930,National,2006
00,2007-01-01,25-44 Years,0.22,13.52,185,11157,National,2007
00,2008-01-01,25-44 Years,0.21,13.23,174,10898,National,2008
